time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449500000	17.7737	18.3017	4.75204	2.36198	0.533337	lidar	1.28704	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6372	18.4861	4.74431	2.36859	0.503466	radar	6.70754	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4498	18.6599	4.76393	2.39573	0.504439	lidar	0.341507	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2667	18.8031	4.75617	2.43139	0.523804	radar	1.81736	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1022	18.9426	4.73256	2.456	0.523401	lidar	0.475033	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9347	19.113	4.73678	2.4674	0.500584	radar	2.99318	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7197	19.2263	4.73266	2.50794	0.51703	lidar	2.73406	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.531	19.378	4.74188	2.5319	0.519177	radar	3.1848	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3154	19.5306	4.77235	2.55738	0.517101	lidar	0.773822	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0905	19.6153	4.76221	2.60904	0.557284	radar	10.112	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.756	4.77439	2.62928	0.548679	lidar	0.760003	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6976	19.8829	4.76084	2.63342	0.499433	radar	3.20224	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4757	20.0292	4.7943	2.65125	0.490173	lidar	1.39143	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2689	20.1677	4.80644	2.66238	0.469661	radar	5.71849	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0777	20.3017	4.80243	2.67337	0.456814	lidar	1.79957	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8484	20.3834	4.80195	2.71152	0.481254	radar	2.16109	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6336	20.5024	4.81103	2.72801	0.472949	lidar	0.660187	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4007	20.5869	4.82005	2.76511	0.500418	radar	1.35228	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1554	20.6608	4.8323	2.7974	0.507459	lidar	0.811082	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9213	20.7304	4.83649	2.83351	0.529875	radar	0.399373	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6528	20.7914	4.86756	2.86875	0.537572	lidar	2.03262	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4075	20.8206	4.86978	2.9233	0.591528	radar	2.36325	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1592	20.8639	4.87684	2.9562	0.594644	lidar	0.205003	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9289	20.9216	4.87342	2.97781	0.584183	radar	1.73404	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7179	20.9719	4.84915	2.99885	0.576967	lidar	1.66665	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.47	21.0102	4.86099	3.02755	0.578985	radar	2.65545	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2227	21.0485	4.87188	3.05192	0.573494	lidar	0.2231	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9848	21.0678	4.86985	3.08339	0.582447	radar	0.915843	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7368	21.0415	4.86367	3.12638	0.59755	lidar	1.82052	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4906	21.0277	4.86352	3.16196	0.60427	radar	1.07099	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2664	21.0249	4.84513	3.18927	0.602258	lidar	0.592312	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0142	20.9856	4.8515	3.22917	0.612947	radar	4.15045	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7948	20.9508	4.82648	3.26323	0.618143	lidar	0.533214	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5463	20.951	4.82665	3.26633	0.563143	radar	5.67321	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2763	20.9754	4.86735	3.27191	0.536121	lidar	3.48293	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0372	20.9572	4.86572	3.29067	0.52479	radar	1.01334	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83075	20.9219	4.82977	3.31627	0.526058	lidar	1.62357	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59178	20.9158	4.81852	3.3119	0.468232	radar	2.34541	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38838	20.8658	4.78221	3.33925	0.474275	lidar	1.23651	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16157	20.8263	4.7755	3.36014	0.472735	radar	1.52727	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88559	20.7902	4.82247	3.37415	0.460249	lidar	1.90186	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66534	20.7121	4.81063	3.4079	0.47582	radar	4.51776	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40146	20.6255	4.84735	3.43728	0.4804	lidar	2.70083	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17281	20.5452	4.84854	3.46699	0.491058	radar	0.112607	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93383	20.4648	4.85977	3.49066	0.489636	lidar	0.133763	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71715	20.3782	4.85763	3.52479	0.513464	radar	3.52059	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42773	20.3183	4.92215	3.53029	0.48866	lidar	3.79293	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19922	20.2204	4.92315	3.55375	0.485216	radar	0.225142	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
